id,booking_reference,hotel,booking_date,cost
1,332323231,Fullerton,2021-03-19,100
1,332323232,Jackson Square,2021-04-03,300
2,332323233,Suncity,2021-05-13,300
2,332323234,Jackson Square,2021-04-17,300
3,332323235,Fullerton,2021-06-01,300
3,332323236,Suncity,2021-05-12,300
4,332323237,Berkly,2021-03-26,200
4,332323238,Fullerton,2021-04-08,600
5,332323239,Jackson Square,2021-04-15,400
5,332323240,Suncity,2021-03-04,500
6,332323241,Jackson Square,2021-04-22,700
6,332323242,Fullerton,2021-06-05,800
7,332323243,Suncity,2021-04-11,100
7,332323244,Berkly,2021-05-07,200
8,332323245,Fullerton,2021-04-11,300
8,332323246,Jackson Square,2021-03-08,600
